wav_filename,wav_filesize,transcript
common_voice_de_18002993.wav,86828,wir haben noch tausende weitere sätze für sie
common_voice_de_18003013.wav,81452,stillende mütter sollte man tolerieren
common_voice_de_18002365.wav,54572,andreas anrufen
common_voice_de_18002363.wav,199724,laura wusste nicht genau was es war aber etwas in ihr sagte ihr dass es die wahrheit ist
common_voice_de_18003337.wav,126764,du kannst doch mit öffentlichen verkehrsmitteln nach hagen fahren
common_voice_de_18003118.wav,63020,henning ist ein herzensguter mensch
common_voice_de_18003741.wav,99884,maseru ist die hauptstadt von lesotho
common_voice_de_18003691.wav,80684,ventilator einschalten
common_voice_de_18003745.wav,83756,abuja ist die hauptstadt von nigeria
common_voice_de_18004725.wav,98348,jetzt beruhigen wir uns erstmal wieder
common_voice_de_18004719.wav,94508,was zum geier ist hier nur los
common_voice_de_18004866.wav,86828,sie sind entlassen
common_voice_de_18004902.wav,107564,schrauben sind ein zeichen für qualität und wartbarkeit
common_voice_de_18004818.wav,125228,die sparkasse wird gerade überfallen
common_voice_de_18004852.wav,286508,nachdem fast alle ureinwohner vertrieben wurden gestand die regierung den verbliebenen hundert eine entschädigung zu
common_voice_de_18543462.wav,89132,tun sie nicht so überrascht
common_voice_de_18544308.wav,169004,ihr jawort gaben sie sich in einem friesischen haus mit reetdach
common_voice_de_18540820.wav,118316,der haarausfall ist wohl hormonell bedingt
common_voice_de_18004912.wav,71468,heute gibt es pfannkuchen
common_voice_de_18544408.wav,79148,können sie sich ausweisen
common_voice_de_18545715.wav,120620,den wickeltisch kann man hochklappen wenn man ihn nicht braucht
common_voice_de_18553434.wav,159788,statt mit qualifikation zu überzeugen versucht sie den personalchef zu betören
common_voice_de_18548409.wav,102188,es ist eine albanische wasserpfeife
common_voice_de_18549146.wav,142892,das ist rock 'n' roll lieber freddy
common_voice_de_18554035.wav,110636,ein abspielgerät für digitale medien hingegen fehlte
common_voice_de_18554046.wav,140588,warum kann man den songtext nicht als untertiteldatei herunterladen
common_voice_de_18633265.wav,205868,früher haben wir noch am friedhof gechillt und uns dabei unendlich cool gefühlt
common_voice_de_18633122.wav,115244,die stühle sind zwar sehr stylisch aber unpraktisch
common_voice_de_18633161.wav,169004,das gestrige techtelmechtel wird kunibert noch bereuen
common_voice_de_18633277.wav,157484,da bekam der monarch den ganzen zorn des volkes zu spüren
common_voice_de_18633360.wav,78380,erkennst du mich nicht
common_voice_de_18633540.wav,80684,eine sache zur zeit
common_voice_de_18633299.wav,145964,thilo müsste mit den anderen auf dem bolzplatz sein
common_voice_de_18633609.wav,156716,es erfordert mut anders zu sein als es die anderen wollen
common_voice_de_18633627.wav,139820,mitglieder des betriebsrats sind unkündbar
common_voice_de_18633764.wav,72236,wer möchte kuchen
common_voice_de_18633574.wav,134444,die meisten menschen suchen irgendwann den sinn des lebens
common_voice_de_18633816.wav,89132,einfach nicht nach unten schauen
common_voice_de_18634162.wav,148268,warum soll immer ich wissen wann deine verwandten geburtstag haben
common_voice_de_18634064.wav,140588,und das ist der punkt ab dem es gefährlich wird
common_voice_de_18634122.wav,122924,mein alter war zu knauserig um echtes purpur zu bezahlen
common_voice_de_18634213.wav,155180,weil das gewinde kaputt ist wird eine kontermutter auf der gegenseite benötigt
common_voice_de_18634230.wav,94508,kann ich euch hagebuttentee anbieten
common_voice_de_18634248.wav,73772,irgendwann ist auch mal schluss
common_voice_de_18635743.wav,169004,diese wurde in österreich in wien gegründet und besteht noch heute
common_voice_de_18635907.wav,80684,welches brot hätten sie gern
common_voice_de_18636120.wav,125228,frau knolle hat bestimmt etwas vaseline für dich
common_voice_de_18637650.wav,152108,ein riss in der membran hat die probleme verursacht
common_voice_de_18637654.wav,114476,wo licht ist ist auch schatten
common_voice_de_18637677.wav,111404,das weckt kindheitserinnerungen
common_voice_de_18638271.wav,125996,aber in der regel ist die anzeige relativ präzise
common_voice_de_18675771.wav,84524,das ist eine grundvoraussetzung
common_voice_de_19144812.wav,156716,kinau wurde in eine protestantische pfarrers und lehrerfamilie geboren
common_voice_de_19136365.wav,134444,die insel erreicht eine maximale höhe von vier metern
common_voice_de_19151345.wav,195116,kammer des verwaltungsgerichts frankfurt zunächst gestoppt
common_voice_de_19151351.wav,176684,kammer des verwaltungsgerichts frankfurt zunächst gestoppt
common_voice_de_19155674.wav,180524,schröder bezeichnet wladimir putin als seinen privaten freund
common_voice_de_19155637.wav,182060,schröder bezeichnet wladimir putin als seinen privaten freund
common_voice_de_19156618.wav,184364,schröder bezeichnet wladimir putin als seinen privaten freund
common_voice_de_19166310.wav,221228,heute ist sie torwart trainerin beim frauen regionalligisten sportfreunde siegen
common_voice_de_19166336.wav,230444,heute ist sie torwart trainerin beim frauen regionalligisten sportfreunde siegen
common_voice_de_19166618.wav,171308,heute ist sie torwart trainerin beim frauen regionalligisten sportfreunde siegen
common_voice_de_19230183.wav,162860,der roesler ist ein rotwein mit deutlichen waldbeeren aromen
common_voice_de_19176947.wav,144428,die eier können auf dem oder im boden belassen werden
common_voice_de_19176987.wav,231980,die eier können auf dem oder im boden belassen werden
